province,city_name,business_category,business_category_url
Ontario,Toronto,Construction Materials & Building Supplies,https://www.yellowpages.ca/search/si/1/Construction+Materials+%26+Building+Supplies/Toronto+ON
Ontario,Toronto,Childcare Services,https://www.yellowpages.ca/search/si/1/Childcare+Services/Toronto+ON
Ontario,Toronto,"""Commercial, Industrial & Residential Cleaning""",https://www.yellowpages.ca/search/si/1/%22Commercial%2C+Industrial+%26+Residential+Cleaning%22/Toronto+ON
Ontario,Toronto,Hotels,https://www.yellowpages.ca/search/si/1/Hotels/Toronto+ON
Ontario,Toronto,Welding,https://www.yellowpages.ca/search/si/1/Welding/Toronto+ON
Ontario,Toronto,Florists & Flower Shops,https://www.yellowpages.ca/search/si/1/Florists+%26+Flower+Shops/Toronto+ON
Ontario,Toronto,Cold & Heat Insulation Contractors,https://www.yellowpages.ca/search/si/1/Cold+%26+Heat+Insulation+Contractors/Toronto+ON
Ontario,Toronto,Signs,https://www.yellowpages.ca/search/si/1/Signs/Toronto+ON
Ontario,Toronto,Auto Glass & Windshields,https://www.yellowpages.ca/search/si/1/Auto+Glass+%26+Windshields/Toronto+ON
Ontario,Toronto,Septic Tank Installation & Repair,https://www.yellowpages.ca/search/si/1/Septic+Tank+Installation+%26+Repair/Toronto+ON
Ontario,Toronto,Masonry & Bricklaying Contractors,https://www.yellowpages.ca/search/si/1/Masonry+%26+Bricklaying+Contractors/Toronto+ON
Ontario,Toronto,New Car Dealers,https://www.yellowpages.ca/search/si/1/New+Car+Dealers/Toronto+ON
Ontario,Toronto,Crane Rental & Service,https://www.yellowpages.ca/search/si/1/Crane+Rental+%26+Service/Toronto+ON
Ontario,Toronto,Hearing Aids,https://www.yellowpages.ca/search/si/1/Hearing+Aids/Toronto+ON
Ontario,Toronto,Chartered Professional Accountants (CPA),https://www.yellowpages.ca/search/si/1/Chartered+Professional+Accountants+%28CPA%29/Toronto+ON
Ontario,Toronto,General Rental Service,https://www.yellowpages.ca/search/si/1/General+Rental+Service/Toronto+ON
Ontario,Toronto,Car Repair & Service,https://www.yellowpages.ca/search/si/1/Car+Repair+%26+Service/Toronto+ON
Ontario,Toronto,Tire Retailers,https://www.yellowpages.ca/search/si/1/Tire+Retailers/Toronto+ON
Ontario,Toronto,"""Glass (Plate, Window & Door)""",https://www.yellowpages.ca/search/si/1/%22Glass+%28Plate%2C+Window+%26+Door%29%22/Toronto+ON
Ontario,Toronto,Scrap Metals,https://www.yellowpages.ca/search/si/1/Scrap+Metals/Toronto+ON
Ontario,Toronto,Transportation Service,https://www.yellowpages.ca/search/si/1/Transportation+Service/Toronto+ON
Ontario,Toronto,Massage Therapists,https://www.yellowpages.ca/search/si/1/Massage+Therapists/Toronto+ON
Ontario,Toronto,Portable Toilets,https://www.yellowpages.ca/search/si/1/Portable+Toilets/Toronto+ON
Ontario,Toronto,New Auto Parts & Supplies,https://www.yellowpages.ca/search/si/1/New+Auto+Parts+%26+Supplies/Toronto+ON
Ontario,Ottawa,Dentists,https://www.yellowpages.ca/search/si/1/Dentists/Ottawa+ON
Ontario,Ottawa,Lawyers,https://www.yellowpages.ca/search/si/1/Lawyers/Ottawa+ON
Ontario,Ottawa,Plumbers & Plumbing Contractors,https://www.yellowpages.ca/search/si/1/Plumbers+%26+Plumbing+Contractors/Ottawa+ON
Ontario,Ottawa,Electricians & Electrical Contractors,https://www.yellowpages.ca/search/si/1/Electricians+%26+Electrical+Contractors/Ottawa+ON
Ontario,Ottawa,Roofers,https://www.yellowpages.ca/search/si/1/Roofers/Ottawa+ON
Ontario,Ottawa,Auto Repair Garages,https://www.yellowpages.ca/search/si/1/Auto+Repair+Garages/Ottawa+ON
Ontario,Ottawa,Excavation Contractors,https://www.yellowpages.ca/search/si/1/Excavation+Contractors/Ottawa+ON
Ontario,Ottawa,Heating Contractors,https://www.yellowpages.ca/search/si/1/Heating+Contractors/Ottawa+ON
Ontario,Ottawa,Denturists,https://www.yellowpages.ca/search/si/1/Denturists/Ottawa+ON
Ontario,Ottawa,Landscape Contractors & Designers,https://www.yellowpages.ca/search/si/1/Landscape+Contractors+%26+Designers/Ottawa+ON
Ontario,Ottawa,General Contractors,https://www.yellowpages.ca/search/si/1/General+Contractors/Ottawa+ON
Ontario,Ottawa,Vehicle Towing,https://www.yellowpages.ca/search/si/1/Vehicle+Towing/Ottawa+ON
Ontario,Ottawa,Optometrists,https://www.yellowpages.ca/search/si/1/Optometrists/Ottawa+ON
Ontario,Ottawa,Veterinarians,https://www.yellowpages.ca/search/si/1/Veterinarians/Ottawa+ON
Ontario,Ottawa,Restaurants,https://www.yellowpages.ca/search/si/1/Restaurants/Ottawa+ON
Ontario,Ottawa,Paving Contractors,https://www.yellowpages.ca/search/si/1/Paving+Contractors/Ottawa+ON
Ontario,Ottawa,Tree Service,https://www.yellowpages.ca/search/si/1/Tree+Service/Ottawa+ON
Ontario,Ottawa,Home Improvements & Renovations,https://www.yellowpages.ca/search/si/1/Home+Improvements+%26+Renovations/Ottawa+ON
Ontario,Ottawa,Insurance,https://www.yellowpages.ca/search/si/1/Insurance/Ottawa+ON
Ontario,Ottawa,Air Conditioning Contractors,https://www.yellowpages.ca/search/si/1/Air+Conditioning+Contractors/Ottawa+ON
Ontario,Ottawa,Funeral Homes,https://www.yellowpages.ca/search/si/1/Funeral+Homes/Ottawa+ON
Ontario,Ottawa,Auto Body Repair & Painting Shops,https://www.yellowpages.ca/search/si/1/Auto+Body+Repair+%26+Painting+Shops/Ottawa+ON
Ontario,Ottawa,Concrete Contractors,https://www.yellowpages.ca/search/si/1/Concrete+Contractors/Ottawa+ON
Ontario,Ottawa,Notaries,https://www.yellowpages.ca/search/si/1/Notaries/Ottawa+ON
Ontario,Ottawa,Chiropractors DC,https://www.yellowpages.ca/search/si/1/Chiropractors+DC/Ottawa+ON
Ontario,Ottawa,Moving Services & Storage Facilities,https://www.yellowpages.ca/search/si/1/Moving+Services+%26+Storage+Facilities/Ottawa+ON
Ontario,Ottawa,Hairdressers & Beauty Salons,https://www.yellowpages.ca/search/si/1/Hairdressers+%26+Beauty+Salons/Ottawa+ON
Ontario,Ottawa,Pizza & Pizzerias,https://www.yellowpages.ca/search/si/1/Pizza+%26+Pizzerias/Ottawa+ON
Ontario,Ottawa,Septic Tank Cleaning,https://www.yellowpages.ca/search/si/1/Septic+Tank+Cleaning/Ottawa+ON
Ontario,Ottawa,Truck Repair & Service,https://www.yellowpages.ca/search/si/1/Truck+Repair+%26+Service/Ottawa+ON
Ontario,Ottawa,Self-Storage,https://www.yellowpages.ca/search/si/1/Self-Storage/Ottawa+ON
Ontario,Ottawa,Accountants,https://www.yellowpages.ca/search/si/1/Accountants/Ottawa+ON
Ontario,Ottawa,Painters,https://www.yellowpages.ca/search/si/1/Painters/Ottawa+ON
Ontario,Ottawa,Pest Control Services,https://www.yellowpages.ca/search/si/1/Pest+Control+Services/Ottawa+ON
Ontario,Ottawa,Doors & Windows,https://www.yellowpages.ca/search/si/1/Doors+%26+Windows/Ottawa+ON
Ontario,Ottawa,Fences,https://www.yellowpages.ca/search/si/1/Fences/Ottawa+ON
Ontario,Ottawa,Ready-Mixed Concrete,https://www.yellowpages.ca/search/si/1/Ready-Mixed+Concrete/Ottawa+ON
Ontario,Ottawa,Land Surveyors,https://www.yellowpages.ca/search/si/1/Land+Surveyors/Ottawa+ON
Ontario,Ottawa,Sand & Gravel,https://www.yellowpages.ca/search/si/1/Sand+%26+Gravel/Ottawa+ON
Ontario,Ottawa,Locksmiths & Locks,https://www.yellowpages.ca/search/si/1/Locksmiths+%26+Locks/Ottawa+ON
Ontario,Ottawa,Eavestroughing & Gutters,https://www.yellowpages.ca/search/si/1/Eavestroughing+%26+Gutters/Ottawa+ON
Ontario,Ottawa,Real Estate Agents & Brokers,https://www.yellowpages.ca/search/si/1/Real+Estate+Agents+%26+Brokers/Ottawa+ON
Ontario,Ottawa,Building Contractors,https://www.yellowpages.ca/search/si/1/Building+Contractors/Ottawa+ON
Ontario,Ottawa,Physiotherapists,https://www.yellowpages.ca/search/si/1/Physiotherapists/Ottawa+ON
Ontario,Ottawa,Water Well Drilling & Service,https://www.yellowpages.ca/search/si/1/Water+Well+Drilling+%26+Service/Ottawa+ON
Ontario,Ottawa,Kitchen Cabinets,https://www.yellowpages.ca/search/si/1/Kitchen+Cabinets/Ottawa+ON
