category,keyword,location,state,google_map_search_query
Poissonneries,poissonnerie,Paris 15e,Paris,https://www.google.com/maps/search/poissonnerie+Paris+15e
Poissonneries,poissonnier,Paris 15e,Paris,https://www.google.com/maps/search/poissonnier+Paris+15e
Poissonneries,poissonnerie traiteur,Paris 15e,Paris,https://www.google.com/maps/search/poissonnerie+traiteur+Paris+15e
Poissonneries,poisson frais,Paris 15e,Paris,https://www.google.com/maps/search/poisson+frais+Paris+15e
Stations de lavage auto,station de lavage auto,Paris 15e,Paris,https://www.google.com/maps/search/station+de+lavage+auto+Paris+15e
Stations de lavage auto,lavage auto,Paris 15e,Paris,https://www.google.com/maps/search/lavage+auto+Paris+15e
Stations de lavage auto,lavage voiture,Paris 15e,Paris,https://www.google.com/maps/search/lavage+voiture+Paris+15e
Stations de lavage auto,car wash,Paris 15e,Paris,https://www.google.com/maps/search/car+wash+Paris+15e
Stations de lavage auto,lavage sans contact,Paris 15e,Paris,https://www.google.com/maps/search/lavage+sans+contact+Paris+15e
Spa,spa,Paris 15e,Paris,https://www.google.com/maps/search/spa+Paris+15e
Spa,spa bien-être,Paris 15e,Paris,https://www.google.com/maps/search/spa+bien-être+Paris+15e
Spa,spa hammam,Paris 15e,Paris,https://www.google.com/maps/search/spa+hammam+Paris+15e
Spa,spa massage,Paris 15e,Paris,https://www.google.com/maps/search/spa+massage+Paris+15e
Spa,spa sauna,Paris 15e,Paris,https://www.google.com/maps/search/spa+sauna+Paris+15e
Fleuristes,fleuriste,Paris 15e,Paris,https://www.google.com/maps/search/fleuriste+Paris+15e
Fleuristes,fleuriste livraison,Paris 15e,Paris,https://www.google.com/maps/search/fleuriste+livraison+Paris+15e
Fleuristes,atelier floral,Paris 15e,Paris,https://www.google.com/maps/search/atelier+floral+Paris+15e
Fleuristes,bouquet sur mesure,Paris 15e,Paris,https://www.google.com/maps/search/bouquet+sur+mesure+Paris+15e
Hammam / Sauna / Piscine,hammam,Paris 15e,Paris,https://www.google.com/maps/search/hammam+Paris+15e
Hammam / Sauna / Piscine,sauna,Paris 15e,Paris,https://www.google.com/maps/search/sauna+Paris+15e
