category,keyword,location,state,google_map_search_query
Poissonneries,poissonnerie,Paris 1e,Paris,https://www.google.com/maps/search/poissonnerie+Paris+1e
Poissonneries,poissonnier,Paris 1e,Paris,https://www.google.com/maps/search/poissonnier+Paris+1e
Poissonneries,poissonnerie traiteur,Paris 1e,Paris,https://www.google.com/maps/search/poissonnerie+traiteur+Paris+1e
Poissonneries,poisson frais,Paris 1e,Paris,https://www.google.com/maps/search/poisson+frais+Paris+1e
Stations de lavage auto,station de lavage auto,Paris 1e,Paris,https://www.google.com/maps/search/station+de+lavage+auto+Paris+1e
Stations de lavage auto,lavage auto,Paris 1e,Paris,https://www.google.com/maps/search/lavage+auto+Paris+1e
Stations de lavage auto,lavage voiture,Paris 1e,Paris,https://www.google.com/maps/search/lavage+voiture+Paris+1e
Stations de lavage auto,car wash,Paris 1e,Paris,https://www.google.com/maps/search/car+wash+Paris+1e
Stations de lavage auto,lavage sans contact,Paris 1e,Paris,https://www.google.com/maps/search/lavage+sans+contact+Paris+1e
Spa,spa,Paris 1e,Paris,https://www.google.com/maps/search/spa+Paris+1e
Spa,spa bien-être,Paris 1e,Paris,https://www.google.com/maps/search/spa+bien-être+Paris+1e
Spa,spa hammam,Paris 1e,Paris,https://www.google.com/maps/search/spa+hammam+Paris+1e
Spa,spa massage,Paris 1e,Paris,https://www.google.com/maps/search/spa+massage+Paris+1e
Spa,spa sauna,Paris 1e,Paris,https://www.google.com/maps/search/spa+sauna+Paris+1e
Fleuristes,fleuriste,Paris 1e,Paris,https://www.google.com/maps/search/fleuriste+Paris+1e
Fleuristes,fleuriste livraison,Paris 1e,Paris,https://www.google.com/maps/search/fleuriste+livraison+Paris+1e
Fleuristes,atelier floral,Paris 1e,Paris,https://www.google.com/maps/search/atelier+floral+Paris+1e
Fleuristes,bouquet sur mesure,Paris 1e,Paris,https://www.google.com/maps/search/bouquet+sur+mesure+Paris+1e
Hammam / Sauna / Piscine,hammam,Paris 1e,Paris,https://www.google.com/maps/search/hammam+Paris+1e
Hammam / Sauna / Piscine,sauna,Paris 1e,Paris,https://www.google.com/maps/search/sauna+Paris+1e
Hammam / Sauna / Piscine,piscine,Paris 1e,Paris,https://www.google.com/maps/search/piscine+Paris+1e
Hammam / Sauna / Piscine,bains vapeur,Paris 1e,Paris,https://www.google.com/maps/search/bains+vapeur+Paris+1e
Coiffeurs / Barbiers,salon de coiffure,Paris 1e,Paris,https://www.google.com/maps/search/salon+de+coiffure+Paris+1e
Coiffeurs / Barbiers,coiffeur,Paris 1e,Paris,https://www.google.com/maps/search/coiffeur+Paris+1e
Coiffeurs / Barbiers,barbier,Paris 1e,Paris,https://www.google.com/maps/search/barbier+Paris+1e
Coiffeurs / Barbiers,barbershop,Paris 1e,Paris,https://www.google.com/maps/search/barbershop+Paris+1e
Coiffeurs / Barbiers,coiffure homme,Paris 1e,Paris,https://www.google.com/maps/search/coiffure+homme+Paris+1e
Instituts de beauté / Ongleries / Tatoueurs,institut de beauté,Paris 1e,Paris,https://www.google.com/maps/search/institut+de+beauté+Paris+1e
Instituts de beauté / Ongleries / Tatoueurs,onglerie,Paris 1e,Paris,https://www.google.com/maps/search/onglerie+Paris+1e
Instituts de beauté / Ongleries / Tatoueurs,salon de manucure,Paris 1e,Paris,https://www.google.com/maps/search/salon+de+manucure+Paris+1e
Instituts de beauté / Ongleries / Tatoueurs,tatoueur,Paris 1e,Paris,https://www.google.com/maps/search/tatoueur+Paris+1e
Instituts de beauté / Ongleries / Tatoueurs,piercing,Paris 1e,Paris,https://www.google.com/maps/search/piercing+Paris+1e
Imprimeries / Reprographies,imprimerie,Paris 1e,Paris,https://www.google.com/maps/search/imprimerie+Paris+1e
Imprimeries / Reprographies,reprographie,Paris 1e,Paris,https://www.google.com/maps/search/reprographie+Paris+1e
Imprimeries / Reprographies,impression numérique,Paris 1e,Paris,https://www.google.com/maps/search/impression+numérique+Paris+1e
Imprimeries / Reprographies,copy shop,Paris 1e,Paris,https://www.google.com/maps/search/copy+shop+Paris+1e
Imprimeries / Reprographies,tirage photocopie,Paris 1e,Paris,https://www.google.com/maps/search/tirage+photocopie+Paris+1e
Salles de sport / Fitness,salle de sport,Paris 1e,Paris,https://www.google.com/maps/search/salle+de+sport+Paris+1e
Salles de sport / Fitness,fitness,Paris 1e,Paris,https://www.google.com/maps/search/fitness+Paris+1e
Salles de sport / Fitness,gym,Paris 1e,Paris,https://www.google.com/maps/search/gym+Paris+1e
Salles de sport / Fitness,musculation,Paris 1e,Paris,https://www.google.com/maps/search/musculation+Paris+1e
Salles de sport / Fitness,crossfit,Paris 1e,Paris,https://www.google.com/maps/search/crossfit+Paris+1e
Épiceries / Supérettes / Primeurs,épicerie,Paris 1e,Paris,https://www.google.com/maps/search/épicerie+Paris+1e
Épiceries / Supérettes / Primeurs,supérette,Paris 1e,Paris,https://www.google.com/maps/search/supérette+Paris+1e
Épiceries / Supérettes / Primeurs,alimentation générale,Paris 1e,Paris,https://www.google.com/maps/search/alimentation+générale+Paris+1e
Épiceries / Supérettes / Primeurs,primeur,Paris 1e,Paris,https://www.google.com/maps/search/primeur+Paris+1e
Épiceries / Supérettes / Primeurs,fruits et légumes,Paris 1e,Paris,https://www.google.com/maps/search/fruits+et+légumes+Paris+1e
Animaleries / Boutiques pour animaux,animalerie,Paris 1e,Paris,https://www.google.com/maps/search/animalerie+Paris+1e
Animaleries / Boutiques pour animaux,boutique pour animaux,Paris 1e,Paris,https://www.google.com/maps/search/boutique+pour+animaux+Paris+1e
Animaleries / Boutiques pour animaux,magasin pour animaux,Paris 1e,Paris,https://www.google.com/maps/search/magasin+pour+animaux+Paris+1e
Animaleries / Boutiques pour animaux,toilettage chien,Paris 1e,Paris,https://www.google.com/maps/search/toilettage+chien+Paris+1e
Animaleries / Boutiques pour animaux,nourriture pour animaux,Paris 1e,Paris,https://www.google.com/maps/search/nourriture+pour+animaux+Paris+1e
Poissonneries,poissonnerie,Paris 2e,Paris,https://www.google.com/maps/search/poissonnerie+Paris+2e
Poissonneries,poissonnier,Paris 2e,Paris,https://www.google.com/maps/search/poissonnier+Paris+2e
Poissonneries,poissonnerie traiteur,Paris 2e,Paris,https://www.google.com/maps/search/poissonnerie+traiteur+Paris+2e
Poissonneries,poisson frais,Paris 2e,Paris,https://www.google.com/maps/search/poisson+frais+Paris+2e
Stations de lavage auto,station de lavage auto,Paris 2e,Paris,https://www.google.com/maps/search/station+de+lavage+auto+Paris+2e
Stations de lavage auto,lavage auto,Paris 2e,Paris,https://www.google.com/maps/search/lavage+auto+Paris+2e
Stations de lavage auto,lavage voiture,Paris 2e,Paris,https://www.google.com/maps/search/lavage+voiture+Paris+2e
Stations de lavage auto,car wash,Paris 2e,Paris,https://www.google.com/maps/search/car+wash+Paris+2e
